a	art.一(个) 每
address	n. 地址 住址 致词 讲话 演说 谈吐 (处理问题的)技巧 vt.发表演说 写地址 称呼 对付 ( 图书、文章等)讨论(某主题)
adequate	adj. 足够的 充足的 适当的 可以胜任的
adjective	n.形容词 adj. 形容词的 不独立的
adjust	vt. 调整 调节 校正 使...适于 vi. 适应
administration	n. 管理 行政 管理部门
admire	vt. 钦佩 羡慕 赞赏
admission	n. 允许进入 承认 许可 入会费
admit	vt. 承认 准许...进入 vi. 允许进入 允许 承认
adopt	vt. 收养 采用 采取 接受
adult	n. 成年人adj.成年的 成人的 成熟的
advance	n. 前进 进展 进步 预支 vt. 前进 增涨 预先 vi.前进 提高提升 adj. 预先的 提前的
advanced	adj. 先进的 高级的
advantage	n. 优点 优势 有利条件 好处 vt. 有利于
adventure	n. 冒险 奇遇 惊险活动 vt. 冒险 尝试 vi. 大胆进行 冒险
adverb	n. 副词 adj. 副词的
advertisement	n. 广告 公告 登广告
advice	n. 劝告 忠告 意见 建议
单词	释义
advisable	n. 明智的 可取的
advise	vt . 劝告 建议 通知 警告 vi. 劝告 与...商量
aeroplane	n. 飞机
aero	adj. 飞机的 航空的 飞行的
affair	n. 事情 事件 事务 绯闻
affect	vt. 影响 感动 作用
affection	n.慈爱 爱 爱慕 影响 喜爱 感情
afford	vt. 担负得起(后果 损失等) 提供 给予
afraid	adj. 害怕的 担心的
Africa	n. 非洲
African	adj. 非洲的 非洲人的 n.非洲人
after	adj .以后的 adv. 以后 后来 conj. 在...以后 prep. 在...以后 次于
afternoon	n. 下午 午后 int. 下午好
afterward	adv. 后来 以后
again	adv. 又一次 而且 又 再 另一方面
against	prep. 倚在 倚靠 逆 对着 反对 违背 防御 相比 相对
age	n. 年龄 时代 时期 很长时间 vt. (使)变老 vi.变老 (使）变成熟
agency	n. 经办 代理 代理处 政府机构
agent	n. 代理人 代理商 特工人员 药剂
aggressive	adj. 侵略的 好斗的 攻击性的 有进取心的 强烈的 迅速生长的
ago	adv. 以前
agony	n. 极度痛苦 挣扎
agree	vt. 同意 赞成 承认 vi .同意 持相同意见 一致 符合
agreement	n. 协定 协议 同意 一致
agriculture	n. 农业 农艺 农学
ahead	adv. 在前 向前 提前 将来地 占优势
AI	abbr. 人工智能= ( Artificial Intelligence )
aid	n. 帮助 救护 助手 辅助物 v. 援助 帮助 救护 abbr.=Agency for International Development 国际开发署 [美]
aim	n. 目标 对准 枪法 vt. 瞄准 针对 vi. 瞄准 针对 致力 旨在打算
air	n. 空气 空中 外观 旋律 气氛 态度 v. 晾干 使通风 广播
aircraft	n. 飞机 飞行器
airline	n. 航空公司 航线
airplane	n. 飞机=aeroplane(英）
airport	n. 机场 航空站
alarm	n. 惊恐 惊慌 忧虑 警报 警告 报警器 vt .使...惊慌 警告装报警器
alcohol	n. 酒精 酒 醇 乙醇
alike	adj. 同样的 相同的 相似的 adv. 一样 以同样的方式
alive	adj. 活着的 有活力 活跃的
all	adj. 全部的 所有的 adv. 全部 非常 全然 所有 prep. 全部pron. 全部 所有 n. 全部
allow	vi. (for)考虑到 使可能 vt. 允许 准许 承认 给予 断定
单词	释义
alloy	n. 合金 (金属的)成色 vt. 使...成合金 搀以劣质 减低成色影响或贬损 vi. 有合金能力
almost	adv. 几乎 差不多 adj. 几乎
alone	adj. 单独的 仅仅 独自一人 adv. 单独地 只有 独一无二地
along	adv. 向前 (与某人)一道 prep. 沿着
aloud	adv. 出声地 大声地
alphabet	n. 字母表 字母系统 符号系统 基本原理(元素)
already	adv. 早已 已经
also	adv. 亦 也 而且 还 同样地
alter	vt. 改变 变更 改做
alternative	adj. 两者择一的 供选择的 非主流的 n. 替换物 取舍 抉择
although	conj. 尽管 虽然
altitude	n.高 高度 海拔 高处 高地
altogether	adv.完全 总共 总而言之
aluminium	n.铝
always	adv.总是 一直 永远
a.m	n.(缩)上午 午前
amaze	vt.使惊奇 使惊愕
ambition	n.雄心，抱负，野心，精力 vt.有..野心 追求
ambulance	n.救护车 野战医院
America	n.美洲 美国
American	adj.美洲的 美国的 美式的 n.美国人 美式英语
among	prep.在...之中
amongst	prep在...之中 在...之间(=among)
amount	n.总数 数量 总额 和 vi.总计 等于
ampere	n.安培
amplify	vt.放大 增强 扩大 详述 使...增幅
amuse	vt.逗乐 给...娱乐 消遣
analyse	vt.分析 分解 解析 检讨 细察
analysis	n.分析 分解 解析
ancestor	n.祖宗 祖先 原种
anchor	n.铁锚 vi.抛锚 停泊 用锚系住 担任（广播 电视新闻节目）的主持人
ancient	adj.古代的 古老的 n.古人 古货币
and	conj.和 又 并 则 逻辑与
angel	n.天使 天使般的人 神差 (名)安琪儿
anger	n.怒 愤怒 vt.使发怒 激怒
angle	n.角 角度 角落 vt.斜移 转变角度 vi.钓鱼 谋取 转变角度
Angle	n.盎格鲁人
angry	adj.愤怒的 生气的 伤口红肿的
animal	n.动物 兽 兽性 与众不同的人 adj.动物的 野兽的 动物性的
ankle	n.踝 踝关节
announce	vi.当电台的播音员 宣称 vt.宣布 宣告 发表 通知
announcer	n.宣告者 播音员 广播员 告知者
annoy	vt.使恼怒 使生气 打搅 骚扰 使...苦恼
annual	adj.每年的 年度的 一年生的 n.年报 年刊 年鉴 一年生植物
another	adj.再一个的 别的 另一的 不同的 pron.另一个
单词	释义
answer	n.答案 回答 反驳 回应 vi.回答 符合 vt.回答 响应 适应
ant	n.蚂蚁
anticipate	vt.预料 预期 期望 抢...前 语言 提前使用 vi.预期
anxiety	n.焦虑 忧虑 渴望 担心
anxious	adj.焦急的 忧虑的 渴望的
any	adj.什么 一些 任何的adv.稍 一丁点 pron.任何
anybody	n.重要人物 pron.任何人
anyhow	adv.无论如何 不管怎样
anyone	pron.任何人
anything	pron.任何事物 一切
anyway	adv.无论如何 不管怎样
anywhere	adv.在什么地方 任何地方 n.任何(一个)地方
apart	adv.相隔 分开 除去 分别地 有区别地 adj.分开的 分离的
apartment	n.一套公寓房间
apologize	vi.道歉 谢罪 认错
apology	n.道歉 认错 谢罪 勉强的替代物
apparatus	n.装置 器具 器械 仪器 器官 机构 组织
apparent	adj.表面上的 明显的
appeal	n.呼吁 申述 恳求 上诉 吸引力 诉诸裁决 vi.求助 诉请 呼吁申述 吸引
appear	vi.出现 来到 抵达 似乎 显得 出版
appearance	n.出现 出场 来到 外观
appetite	n.食欲 胃口 欲望 嗜好
apple	n.苹果 苹果树
appliance	n.用具 器具 器械 装置 应用
applicable	adj.能应用的 适当的 合适的
application	n.应用 请求 申请 专心 施用 应用软件程序
apply	vt.应用 实施 使用 涂 使专心从事 vi.申请 有关联
appoint	vt.任命 委任 约定 指定 预约 装饰 vi.行使任命权
appointment	n.任命 约定 约会 预约 委派 官职 设备
appreciate	vt.欣赏 感激 赏识 领会 充分意识 感谢 vi.增值
approach	n.接近 途径 方法 vt.向...靠近 靠近 接近 动手处理
appropriate	adj.适当的 恰当的 相称的 vt.拨出(款项) 占用
approval	n.赞成 同意 批准 认可
approve	vt.赞成 称许 批准 核准 证实 vi.赞同
approximate	adj.近似的 大约的 vt.近似 接近 约等于
approximately	adv.近似地 大约
April	n.四月
Arabian	adj.阿拉伯(人)的 n.阿拉伯人
arbitrary	adj.随心所欲的 专断的 任意的 专制的 武断的 霸道的
architecture	n.建筑学 建筑式样 建筑业 建筑物 结构 [总称] 建筑物 建筑风格
area	n.面积 地区 区域 领域 方面
argue	vt.争论 辩论 争吵 劝说 表明 vi.提出理由 争论 争辩 辩论
argument	n.争论 辩论 理由 论点(据)
arise	vi.出现 由...引起 上升
arithmetic	n.算术 四则运算
单词	释义
arm	n.手臂 臂状物 武器 港湾 狭长地带 扶手 袖子 vt.装备 准备 (炸弹) vi.武装自己
army	n.军队 陆军 大群
around	adj.大约 在现存范围内 adv.大约 到处 在周围 prep.在...周围 在...附近 到处
arouse	vt.引起 唤起 唤醒 激发 激起 vi.唤醒
arrange	vt.筹备 整理 调解 安排 计划 改编(乐曲) vi.协商 计划
arrangement	n.整理 排列 安排 商议
arrest	n.逮捕 监禁 vt.逮捕 拘留 阻止 妨碍 吸引
arrival	n.到达 到来 到达者
arrive	vi.到达 来临 达到 成功
arrow	n.箭 箭头 箭状物 vi.快且笔直的前进有如穿梭的箭
art	adj.美术(品)的 艺术(品)的 n.艺术 美术 技术 阴谋
article	n.文章 条款 物品 冠词 vt.定契约
artificial	adj.人工的 人造的 虚伪的 武断的 娇揉造作的
artist	n.艺术家 美术家 艺人
artistic	adj.艺术的 艺术家的
as	adv.同样地 像 prep.当做 conj.当...的时候 像...一样 因为
ash	n.灰 灰烬 灰末 骨灰
ashamed	adj.惭愧(的) 羞耻(的) 感到惭愧 感到害臊 因为羞耻或勉强作某事
Asia	n.亚洲
Asian	adj.亚洲的 n.亚洲人
aside	n.旁白 顺便说的话 adv.在旁边 到旁边 在一边 另外 离开
ask	vt.问 询问 要求 邀请 请求 开价 vi.询问 恳求
asleep	adj.睡着的 睡熟的 已死的 不活跃的 麻木的 adv.处于或进入睡眠状态地 陷入麻木不仁状态地
aspect	n.方面 样子 外表 外貌 外观 方位 方向
assemble	vt.集合 召集 装配 vi.集合 聚集
assembly	n.集合 集会 装配
assess	vt.对(财产等)估价 估定 评定
assign	vt.指派 分配 指定 转让 n.受让人
assignment	n.分配 功课 任务 被指定的(课外)作业 委派
assist	vt.援助 帮助 协助的器械 搀扶 vt.帮助 协助 vi.帮助 协助出席
assistant	n.助手 助理 助教 adj.副的
associate	vt. 联合 联想 vi.交往 加入 陪同 n.伙伴 同事 合伙人 准学士学位获得者 adj.副的 有联系的 共事的
association	n.协会 团体 社团 联合 结合 交往 联想
assume	vt.假定 设想 承担 呈现 (想当然的)认为
assure	vt.使确信 向...保证 保险 保证 确信 担保
astonish	vt.使惊讶 使吃惊
astronaut	n.宇宙航行员 宇航员
at	prep.在...里 在...时
athlete	n.运动员 田径运动员
Atlantic	adj.大西洋的 n.大西洋
atmosphere	n.大气 空气 气氛 格调 情趣 气压
atmospheric	adj.大气的 大气层的 制造气氛的
单词	释义
atom	n.原子 微粒 微量
atomic	adj.原子的 原子能的
attach	vt.缚 系 贴 附加 使依恋
attack	n.攻击 评击 vt.攻击 动手 疾病发作 vi.发动攻击 adj.有计划的攻击
attain	vt.达到 获得 完成
attempt	vt.尝试 试图 n.企图
attend	vt.出席 照顾 护理 照料 参加 注意 vi.专心 留意 待命
attention	n.注意(力) 留心 关心 立正
attentive	adj.注意的 留意的 有礼貌的
attitude	n.态度 看法 姿势
attract	vt.吸引 引起 诱惑 有吸引力
attraction	n.吸引 吸引力 有吸引力的人或事物 引力
attractive	adj.有吸引力的 引起注意的
attribute	vt.把...归因于 属于 n.属性 特征 标志 象征
audience	n.听众 观众 读者 拥护者 倾听 正式会见
August	n.八月(大写时）adj.威严的 尊严的(小写时）
aunt	n.伯母 婶母 姑母 姨
aural	adj.耳的 听觉的
Australia	n.澳大利亚
Australian	adj.澳大利亚的 n.澳大利亚人
author	n.作者 作家 创造者 vt.创造 写作
authority	n.当局 官方 权力 权威 专家 权威人士 依据
auto	n.(口语)汽车autos=automobile 自动汽车 pref.自动的 自己的
automatic	adj.自动的 机械的 半自动化的 n.自动装置 半自动武器
automation	n.自动 自动化
automobile	n.汽车 机动车 adj.汽车的
autumn	n.秋 秋季 秋天
auxiliary	n.帮助者 辅助物 助动词 adj.辅助的 附属的 附加的
available	adj.可利用的 可得到的 有用的 有效的 通用的
avenue	n.林荫道 道路 大街 途径手段
average	n.平均数 平均水平 adj.平均的 一般的 通常的 v.取平均值达到平均水平
aviation	n.航空 航空学 飞机制造业
avoid	vt.避免 躲开 逃避 撤消
await	vt.等候 期待 准备...以待 储存 vi.等待
awake	adj.醒着的 警惕的 vt.唤醒 唤起 激发 vi.醒来 恢复意识
award	n.奖 奖品 判定 vi.授予 给予 vt.授予
aware	adj.知道的 意识到的
away	adv.离开 远离 出去 连续的 遥远地 ...去 adj.远离
awful	adj.令人不愉快的 可怕的 畏惧的 充满敬畏的 艰难的 adv.极其
awfully	adv.令人畏惧的 很 可怕地 非常地 极端地
awkward	adj.笨拙的 尴尬的
ax	n.斧子 （吉他或者萨克斯风类的）乐器 vt.用斧砍 削减 abbr.=(axiom axis)
单词	释义
axis	n.轴 轴线 中心线 中枢
baby	adj.(形容用法)婴儿的 过小的 n.婴儿 孩子气的人 象婴儿的人 需特殊关心的事物 vt.溺爱 过度关心
back	adj. 后面的 偏远的 过时的 积欠的 向后的 adv. 在后 回原处 回 向后地 n. 后背 背脊 后面 靠背 vt. 后退 支持 vi. 后退
background	n.背景 后景 经历 幕后 配音 vt.提供背景
backward	adj.向后的 倒的 adv.倒 向后
bacteria	n.(复数)细菌
bad	adj.坏的 恶的 严重的 令人不满意的 有害的 有病的 n.坏人坏事
badly	adv.坏 差 严重地 恶劣地 极度地
badminton	n.羽毛球
bag	n.袋 包 钱包 背包 猎获物 vt.鼓起 把...装入袋中 猎杀 占有 vi.鼓起 宽松地下垂或悬吊
baggage	n.行李
bake	vt.烤 烘 焙 烧硬 vi.烘焙 烤 变得炎热 n.烘焙 烤
balance	vt.使平衡 称 称重量 权衡 抵消 vi.建立平衡 均衡 n.天平平衡 差额 平静 调和 制衡
ball	n.球 球状物 舞会 v.(把...捏)成球状
balloon	n.气球 玩具气球 vt.使膨胀 vi.如气球般膨胀 激增 adj.气球状的
banana	n.香蕉 芭蕉属植物
band	n.乐队 带 波段 箍 队 v.联合 结合
bang	n.(突然)巨响 枪声 猛击 重击 刘海 vt.重击 大声敲 剪成刘海 vi.大声敲击 发出巨响 adv.正好地 准确地
bank	n.银行 库 岩 堤 vt.堆积 vi.开户 把...存入银行
banner	n.旗 旗帜 横幅 大标题 adj.特别好的 杰出的 vt.用横幅装饰以大标题报道
bar	n.酒吧间 条 杆 栅 条 棒 横木 vt.禁止 阻挠
barber	n.理发师
bare	adj.赤裸的 显露的 极少的 仅仅的 vt.使赤裸 露出
bargain	n.交易 买卖 物美价廉的东西 vi.议价 成交 vt.议价交易
bark	n.吠叫声 狗叫 咆哮 厉声说话 树皮 小帆船 vi.吠 叫 吠叫咆哮 急促地说
barn	n.谷仓 牲口棚
barrel	n.桶 圆筒 枪管 炮管 笔管 一桶的量 大量 汽油桶 vi.快速移动 vt.把...装桶
barrier	n.栅栏 屏障 障碍 障碍物 界线
base	n.基础 底层 基地 （支持、收入、力量等的）基础 vt.以...作基础 adj.卑鄙的 不道德的
basic	n.基本 实质性的东西 基础训练 [计] BASIC语言 基本高级语言 adj.基本的 基础的 含硅量少的
basically	adv.基本上 主要地
basin	n.盆 洗脸盆 盆地 流域 水池
basis	n.基础 根据 主要成分
basket	n.篮 篓 筐 <篮>篮球筐 得分
basketball	n.篮球 篮球运动
单词	释义
bat	n.球拍 短棍 棒 击打 蝙蝠 v.用棒击打 [计算机] DOS文件名：批文件
bath	n.浴 洗澡 洗澡水 浴缸 浴室 财政亏损 (复)游泳池 n.(Bath)巴斯(英国城市) v.洗澡
bathe	vt.给...洗澡 弄湿 沐浴 用水洗 沉浸
bathroom	n.浴室 盥洗室
battery	n.电池 一套 一组 一系列 排炮
battle	n.战役 斗争 争论 vi.与...作战 与...斗争
bay	adj. 红棕色 n. 湾 海湾 ft脉中的凹处 红棕色 隔间 配电间犬吠 围困 月桂树 名望 vi. 嗥叫 vt. 吼叫着追赶或进攻 哀号把...围困住
B.C.	(缩)公元前
be	aux.v. &vi.是 在 做 有
beach	n.海滩 湖滩 河滩 vt.拖(船)上岸
beam	n.梁 横梁 束 柱 光线 电波 容光焕发 vt.闪亮 为...上梁 vi.微笑 发光
bean	n.豆 蚕豆
bear	n.熊 粗鲁的人 vt.忍受 负荷 结果实 生子女
beard	n.胡须 络腮胡子 vt.抓住胡须 公开反对
beast	n.兽 野兽 牲畜 凶残的人 令人厌憎的人
beat	n.打 敲打声 拍子 独家报道 一会儿 vt. &vi.打 敲 打败
beautiful	adj.美的 美丽的 漂亮的
beauty	n.美 美丽 美人 美的东西
because	conj.由于 因为
become	vt.变得 vi.存在 变成 成为 变得 经历改变或发展
bed	n.床 床位 圃 河床 底层 基座 vt.铺床 去睡觉 安置 发生性关系 vi.铺床 去睡觉 铺层 躺平
bee	n.蜂 密蜂 忙碌的人
beef	n.牛肉 菜牛 v.抱怨 诉苦
beer	n.啤酒
before	adj. & adv.以前 在...之前 prep. & conj.在...以前 向...
beg	vt.乞讨 恳求 合理需要 vi.行乞 乞求 abbr.(begin)的缩写开始
beggar	n.乞丐 穷人 <非正式>人 家伙 vt.使贫穷 使不足 使不能
begin	vi.开始 起初是 vt.开始 意欲作出某事
beginner	n.初学者 生手
beginning	n.开始 开端 起源 早期 adj.刚开始的 动词begin的现在分词
behalf	n.利益 维护 支持
behave	vi.表现 举止 行为 举止端正 运转
behavior	n.行为 举止 态度
behind	adv.在后面 落后 迟地 adj.后面的 落后的 迟的 慢的 prep.在...后面 落后于 掩盖 基于 支持 n.屁股
being	n.存在 生物 生命 人 vi.存在 处于 举行 去或来 是 adj.现在的 目前的
belief	n.信任 相信 信念 信仰
believe	vt.相信 认为
bell	n.钟 铃 门铃 钟声 花冠 吼叫声 vt.敲钟 使象钟状地张开 vi.使呈钟状 张开

单词	释义
belong	vi.属于 附属 适合于
beloved	adj.为...的爱的 心爱的 n.爱人
below	adv.在下面 向下 下级 prep.在...下面(以下) (级别、重要性)低于 adj.在...下面 n.下面的东西
belt	n.带(状物) 腰带 皮带 区 vi.飞奔 大声唱 vt.系上腰带 环绕击打 大声唱
bench	n.长凳 条凳 工作台 梯田 vt.坐在长凳上 放置长凳 在展览会上展览 vi.形成梯田
bend	vt.使弯曲 vi.弯曲 屈服 n.弯曲(物) 弯道
beneath	adv.在下方 prep.在...下方 在...之下
beneficial	adj.有利的 有益的
benefit	n.利益 恩惠 津贴 义卖 义演 vt.有益于 vi.得益
berry	n.浆果(如草莓等)
beside	prep.在...旁边 与…相比
besides	adv.而且 也 此外 prep.除...之外 adj.别的
best	adj.最好的 最大的 adv.最 最好地 n.最好的人(或物) vt.胜于
bet	n.打赌 赌注 最大的可能 vi.下注 vt.打赌
betray	vt.误导 出卖 背叛 辜负 泄漏 vi.证明...错误
better	adj.较好的 更好的 adv.更好地 v.使...更好 超越 n.更好的事物
between	adv.在中间 prep.在...中间
beyond	adv.在更远处 另外 n.远处 来世 prep.在...的那边 超出 越过 另外
Bible	n.基督教《圣经》 有权威的书
bicycle	n.自行车 脚踏车 v.骑自行车
big	adj.大的 巨大的 重要的 adv.以郑重的方式 大数量 n.杰出的组织和个人
bike	n.自行车 vi.骑自行车
bill	n. 比尔(男名) 账单 钞票 招贴 票据 清单 议案 法案 广告鸟嘴 喙 vt. 开帐单 用海报宣传 把...列成表
billion	num.(英)万亿 (美)十亿 n.大量 adj.大量的
bind	n.窘境 vt.捆绑 包扎 装钉 约束 约束
biology	n.生物学 生态学
bird	n.鸟 家禽 陶土飞靶 伙伴 vi.观察或辨认鸟
birth	n.分娩 出生 诞生 出身 血统 出现 起源
birthday	n.生日 诞生的日期
biscuit	n.(英)饼干 (美)软饼 姜黄褐色
bit	n.一点 少量 一些 小片 钻头 马嚼子 辅币 位 比特(二进位制信息单位) vt.控制
bite	n.咬 一口 少量食物 咬伤的伤口 vt.咬 叮 螫 剌穿 vi.咬(饵) 使剧痛 紧抓
bitter	adj.苦的 痛苦的 剧烈的 严寒的 n.苦久 苦涩 苦的东西 vt.使...变苦 adv.激烈地 极其
bitterly	adv.苦苦地 悲痛地 怨恨地 残酷地
black	adj.黑的 暗的 穿黑衣服的 脏的 邪恶的 阴沉的 机密的 n.黑色东西 黑色 黑人 (棋类)黑子 v.(使)变黑 抹黑
blackboard	n.黑板
blade	n.刀刃 刀片 叶片 刀锋

单词	释义
blame	n.过失 责备 vt.责备 把...归咎于
blank	adj. 空白的 茫然的 全部的 面无表情的 未完工的 n. 空白(处) 空隙 空虚 (有弹药而无弹头的)空弹 vi. 消失 走神 vt.使模糊不清 删除 封闭 (比赛时连续得分)使对手得零分
blanket	n.毛毯 羊毛毯 覆盖物 排字版 vt.用毯子裹 扑灭 挡风 覆盖使包含 adj.包含所有的 适用于所有情形的
blast	n.爆炸 冲击波 气流 一阵 汽笛声 vi.爆破 突然发出声音 vt.喷射 炸掉
blaze	n.火焰 烈火 闪光 vi.燃烧 发光 vt.燃烧 宣布 在树皮上刻痕领导 开拓
bleed	vi. 出血 流血 泌脂 ( 为事业 祖国 ) 负伤或牺性 ( 花草﹑树木等 ) 流出汁液 出大笔钱 vt. 放血 勒索钱财 大大削弱使...流血 n. 印刷到纸边上去 漏出
blend	vt. &vi.混合 n.混合物
bless	vt.为...祝福 赐福 祈佑 称颂上帝 使神圣 赋予
blind	adj.瞎的 盲目的 未察觉的 n.百叶窗 幌子 vt.使失明 隐藏 adv.盲目地
block	n.街区 木块 石块 阻塞(物) 障碍(物) vt.堵塞 拦阻
blood	n.血 血液 血统 仇恨 vt.流血
bloom	n.花 开花 开花期 钢块 兴旺 vt.使...开花 vi.开花 变得健康
blossom	n.花 开花 全盛期 vi.开花 成长
blow	vi.吹 吹动 吹响 打击 殴打 v.吹 风吹 擤（鼻子） 【口】浪费（机会）
blue	adj.蓝色的 沮丧的 忧郁的 (女人)有学问的 n.蓝色 vt.使...变蓝 vi.变蓝
board	n. 板 木板 甲板 董事会 伙食 舞台 演员的职业 船舷 vt. 上(飞机、船、车等) 有偿提供食宿 用木板覆盖 vi.搭伙
boast	n.吹牛 vi.吹牛 自夸 vt.吹牛 吹嘘
boat	n.小船 艇 渔船 船型物体 vt.放于船上 vi.划船
body	n.身体 人 主体 尸体 正文 vt.赋予形体 体现
boil	n.皮下脓肿 沸腾 vi.沸腾 汽化 vt.煮沸
bold	adj.大胆的 冒失的 粗体的 醒目的 无礼的 陡峭的
bolt	n. 螺栓 螺钉 插销 门闩 突发 剑弩 闪电 vt. 闩门 闩住 用螺栓固定在一起 狼吞虎咽 vi. 冲出去 急逃 adv. 背部挺直地坐或站
bomb	n.炸弹 高压罐 火ft口喷出的熔岩 vt.轰炸 大败 长传 vi.失败
bond	n.联结 联系 结合 公债 债券 粘结剂 粘合剂
bone	n.骨 骨骼 核心 vt.除去骨头 往衣服里加撑条 磨光表面 vi.努力学习 adv.非常地 极其地
book	n.书 书籍 vt.预定 登记 vi.通过...预订
boot	n. 靴子 长统靴 (英)汽车行李箱 猛踢 锁扣 vt. 踢 穿靴子锁车 vi. (计算机) 启动 在(通常为非法停放的汽车)车轮上装制动装置 利用 帮助
booth	n.货摊 公用电话亭 小间
border	n.边 边缘 边界 vt.作...之疆界 加边
bore	vbl.忍受(动词bear 过去式) n.令人讨厌的人 枪膛 孔 井眼枪管口径 涌潮 vt.使厌烦 钻 挖 vi.挖掘 开凿
born	动词bear的过去分词 adj.天生的 出生的 与生俱来的

单词	释义
borrow	vt.借 借用 借入
bosom	n.胸 胸部 内心
boss	n.老板 上司 vt.指挥 控制
both	adj.两者的 conj.不但…而且… pron.两者(都)
bother	vt.烦扰 迷惑 vi.烦扰 操心 n.麻烦 烦扰
bottle	n.瓶 酒瓶 一瓶 vt.装瓶 抑制
bottom	n. 底 底部 根基 臀部 船身 水底 服装下面的部分 低洼地 底色 尽头 adj. 底部的 vt. 给...装底 建立基础 到达底部 vi.到达底部 垫底 降到最低点
bough	n.大树枝
bounce	n.跳 反跃 (活)弹力 vt.弹跳 向...透露注意 vi.反跳 弹起跳起 重新恢复
bound	n.跳跃 界限 范围 adj.一定的 必定的 有义务的 受约束的 装订的 vt.跳跃前进 形成界限
boundary	n.分界线 边界
bow	n.弓 蝴蝶结 鞠躬 船头 两手准备 vi.鞠躬 成弓形 弯腰 首次上演 屈服 听从 尊重 vt.重压 弯曲
bowl	n.碗 钵 碗状物 物体的碗状部分 季后赛 圆形露天剧场 vi.打保龄球 快速移动 vt.投球 投球得分
box	n.箱 盒 包箱 专席 亭子 窘境 vt. 装...入盒中 限制住 调和改变形状 用拳击… vi.参与拳击 拳击 打拳
boy	n.男孩 儿子 少年 家伙
brain	n.脑 脑髓 脑力 智力 vt.打...的脑袋
